Date,AverageTemperature,AverageTemperatureUncertainty,AverageAnomaly
1964-11-01,3.129,0.112,0.3177666666666661
1964-12-01,-3.718,0.086,-1.5960000000000005
1965-01-01,-3.1940000000000004,0.12,0.332666666666666
1965-02-01,-3.053,0.152,-1.4911333333333332
1965-03-01,0.8859999999999999,0.254,-1.6464666666666667
1965-04-01,8.701,0.157,0.4970666666666652
1965-05-01,13.778,0.344,-0.03343333333332943
1965-06-01,17.768,0.4370000000000001,-0.9782333333333355
1965-07-01,20.889,0.235,-0.5881999999999934
1965-08-01,19.91,0.088,-0.5934333333333299
1965-09-01,15.114,0.213,-1.2415666666666638
1965-10-01,9.579,0.246,-0.4441333333333315
1965-11-01,4.542,0.243,1.730766666666666
1965-12-01,-1.148,0.232,0.9739999999999995
1966-01-01,-5.76,0.232,-2.2333333333333334
1966-02-01,-2.835,0.138,-1.2731333333333332
1966-03-01,2.514,0.203,-0.018466666666666853
1966-04-01,7.417000000000002,0.145,-0.7869333333333337
1966-05-01,13.581,0.213,-0.23043333333333038
1966-06-01,18.61,0.156,-0.13623333333333676
1966-07-01,22.124,0.261,0.646800000000006
1966-08-01,19.87,0.235,-0.6334333333333291
1966-09-01,16.296,0.225,-0.05956666666666521
1966-10-01,8.996,0.171,-1.0271333333333317
1966-11-01,3.6010000000000004,0.158,0.7897666666666665
1966-12-01,-2.6180000000000003,0.146,-0.4960000000000009
1967-01-01,-2.269,0.19,1.2576666666666663
1967-02-01,-2.063,0.226,-0.5011333333333334
1967-03-01,4.049,0.227,1.5165333333333337
1967-04-01,8.471,0.095,0.2670666666666648
1967-05-01,12.777,0.25,-1.0344333333333307
1967-06-01,18.446,0.194,-0.3002333333333347
1967-07-01,20.935,0.424,-0.542199999999994
1967-08-01,20.188,0.265,-0.31543333333333123
1967-09-01,15.993,0.194,-0.36256666666666426
1967-10-01,9.599,0.055,-0.4241333333333319
1967-11-01,3.057,0.091,0.24576666666666602
1967-12-01,-2.359,0.131,-0.23700000000000054
1968-01-01,-4.093,0.214,-0.5663333333333336
1968-02-01,-2.287,0.143,-0.7251333333333332
1968-03-01,3.935,0.1639999999999999,1.4025333333333334
1968-04-01,7.782999999999999,0.179,-0.4209333333333367
1968-05-01,12.994000000000002,0.158,-0.8174333333333283
1968-06-01,18.754,0.307,0.007766666666665145
1968-07-01,21.389,0.274,-0.0881999999999934
1968-08-01,20.077,0.173,-0.42643333333332833
1968-09-01,15.702,0.142,-0.6535666666666646
1968-10-01,9.857,0.195,-0.1661333333333328
1968-11-01,2.595,0.123,-0.21623333333333372
1968-12-01,-4.067,0.166,-1.9450000000000007
1969-01-01,-4.5230000000000015,0.171,-0.9963333333333351
1969-02-01,-2.224,0.19,-0.6621333333333335
1969-03-01,0.3369999999999997,0.109,-2.195466666666667
1969-04-01,9.306,0.211,1.1020666666666639
1969-05-01,14.758,0.152,0.9465666666666692
1969-06-01,18.272,0.267,-0.4742333333333377
1969-07-01,21.605,0.151,0.12780000000000769
1969-08-01,20.625,0.266,0.12156666666666993
1969-09-01,16.803,0.086,0.44743333333333624
1969-10-01,8.888,0.135,-1.1351333333333322
1969-11-01,2.448,0.097,-0.36323333333333396
1969-12-01,-1.045,0.236,1.0769999999999995
1970-01-01,-5.642,0.212,-2.115333333333334
1970-02-01,-0.2530000000000001,0.125,1.3088666666666666
1970-03-01,1.783,0.264,-0.7494666666666667
1970-04-01,7.388999999999999,0.221,-0.814933333333336
1970-05-01,14.433,0.2,0.6215666666666699
1970-06-01,18.803,0.237,0.056766666666664634
1970-07-01,21.56,0.127,0.08280000000000598
1970-08-01,21.043000000000003,0.1689999999999999,0.5395666666666727
1970-09-01,15.814,0.13,-0.5415666666666645
1970-10-01,8.286,0.174,-1.7371333333333325
1970-11-01,2.969,0.128,0.15776666666666594
1970-12-01,-2.109,0.144,0.012999999999999456
1971-01-01,-5.1850000000000005,0.183,-1.658333333333334
1971-02-01,-2.323,0.188,-0.7611333333333332
1971-03-01,1.0279999999999998,0.101,-1.5044666666666668
1971-04-01,7.412000000000001,0.165,-0.7919333333333345
1971-05-01,12.763,0.209,-1.04843333333333
1971-06-01,19.337,0.122,0.5907666666666636
1971-07-01,20.903,0.192,-0.574199999999994
1971-08-01,20.418,0.187,-0.08543333333333081
1971-09-01,16.014,0.175,-0.34156666666666524
1971-10-01,10.097,0.177,0.07386666666666741
1971-11-01,2.545,0.152,-0.266233333333334
1971-12-01,-1.6989999999999998,0.168,0.4229999999999996
1972-01-01,-4.279,0.243,-0.7523333333333335
1972-02-01,-2.286,0.154,-0.7241333333333333
1972-03-01,2.838,0.138,0.30553333333333343
1972-04-01,7.358,0.227,-0.8459333333333356
1972-05-01,14.0,0.114,0.1885666666666701
1972-06-01,18.57,0.216,-0.1762333333333359
1972-07-01,21.074,0.216,-0.4031999999999911
1972-08-01,20.579,0.219,0.07556666666667056
1972-09-01,15.962,0.1669999999999999,-0.39356666666666484
1972-10-01,9.1,0.243,-0.9231333333333325
1972-11-01,1.6780000000000002,0.068,-1.1332333333333338
1972-12-01,-3.457,0.201,-1.3350000000000004
1973-01-01,-4.54,0.297,-1.0133333333333336
1973-02-01,-1.62,0.246,-0.05813333333333337
1973-03-01,3.725,0.279,1.1925333333333334
1973-04-01,7.218,0.178,-0.9859333333333353
1973-05-01,13.492,0.313,-0.319433333333329
1973-06-01,18.945,0.092,0.1987666666666641
1973-07-01,21.242,0.233,-0.23519999999999186
1973-08-01,20.62,0.265,0.11656666666667093
1973-09-01,16.186,0.079,-0.16956666666666464
1973-10-01,10.539,0.203,0.5158666666666676
1973-11-01,3.031,0.089,0.21976666666666622
1973-12-01,-1.622,0.149,0.49999999999999933
1974-01-01,-3.583,0.213,-0.05633333333333379
1974-02-01,-2.291,0.208,-0.7291333333333332
1974-03-01,3.758,0.1689999999999999,1.2255333333333334
1974-04-01,8.402000000000001,0.114,0.19806666666666572
1974-05-01,14.143,0.18,0.3315666666666708
1974-06-01,18.66,0.141,-0.08623333333333605
1974-07-01,21.704,0.17,0.22680000000000788
1974-08-01,19.923,0.255,-0.5804333333333318
1974-09-01,15.458,0.174,-0.8975666666666644
1974-10-01,9.32,0.107,-0.7031333333333318
1974-11-01,2.773,0.295,-0.038233333333333785
1974-12-01,-2.476,0.203,-0.35400000000000054
1975-01-01,-3.216,0.13,0.3106666666666662
1975-02-01,-2.34,0.18,-0.7781333333333331
1975-03-01,1.44,0.105,-1.0924666666666667
1975-04-01,5.968,0.114,-2.2359333333333353
1975-05-01,13.956,0.19,0.14456666666666962
1975-06-01,18.198,0.225,-0.5482333333333358
1975-07-01,21.53,0.336,0.052800000000008396
1975-08-01,20.285,0.456,-0.21843333333332993
1975-09-01,15.289,0.26,-1.0665666666666649
1975-10-01,9.844,0.232,-0.1791333333333327
1975-11-01,2.4290000000000003,0.127,-0.38223333333333365
1975-12-01,-2.211,0.117,-0.08900000000000041
1976-01-01,-3.876,0.112,-0.3493333333333335
1976-02-01,0.2559999999999998,0.165,1.8178666666666665
1976-03-01,2.94,0.173,0.4075333333333333
1976-04-01,8.575000000000001,0.165,0.37106666666666577
1976-05-01,13.308,0.336,-0.5034333333333301
1976-06-01,18.448,0.228,-0.2982333333333358
1976-07-01,21.201,0.31,-0.27619999999999223
1976-08-01,20.131,0.19,-0.37243333333332984
1976-09-01,16.176,0.219,-0.1795666666666662
1976-10-01,7.818,0.279,-2.2051333333333325
1976-11-01,1.913,0.154,-0.8982333333333339
1976-12-01,-3.075,0.136,-0.9530000000000007
1977-01-01,-5.601,0.111,-2.0743333333333336
