co2,co2_growth_abs,share_global_co2,coal_co2,cement_co2,gas_co2,oil_co2,co2_per_capita,coal_co2_per_capita,cement_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,flaring_co2_per_capita,share_global_coal_co2,share_global_cement_co2,share_global_gas_co2,share_global_oil_co2,population,gdp
4762.452,204.0,28.01,1210.553,35.749,1103.48,2399.484,22.132,5.626,0.166,5.128,11.151,0.061,20.74,10.64,51.65,28.95,215178797.0,5637203218000.0
4592.958,-169.494,27.14,1196.281,35.701,1052.169,2299.907,21.154,5.51,0.164,4.846,10.593,0.041,20.46,10.6,48.24,28.15,217114898.0,5621366244000.0
4400.795,-192.163,26.04,1151.229,29.588,978.13,2234.736,20.088,5.255,0.135,4.465,10.2,0.032,19.27,8.86,44.58,27.71,219081250.0,5605795188000.0
4607.168,206.373,25.88,1274.423,31.517,994.457,2299.431,20.839,5.764,0.143,4.498,10.401,0.033,20.42,8.85,42.8,27.11,221086427.0,5899591030000.0
4735.366,128.198,25.89,1289.354,33.143,962.888,2442.719,21.222,5.778,0.148,4.315,10.947,0.032,20.23,8.91,40.68,27.78,223135659.0,6166912239000.0
4882.964,147.598,25.76,1367.3,34.745,980.234,2492.562,21.68,6.071,0.154,4.352,11.067,0.036,20.82,8.8,39.37,27.34,225223307.0,6518624310000.0
4894.043,11.079,25.14,1414.751,35.092,1015.012,2420.321,21.528,6.223,0.154,4.465,10.646,0.039,20.76,8.75,38.59,26.15,227339321.0,6740172195000.0
4716.716,-177.327,24.35,1460.031,32.047,1001.239,2216.709,20.554,6.362,0.14,4.363,9.66,0.029,20.81,7.93,36.97,24.84,229476360.0,6743208295893.0
4530.37,-186.347,24.04,1488.434,31.249,969.919,2035.535,19.558,6.426,0.135,4.187,8.788,0.023,21.34,7.74,35.41,23.98,231636065.0,6911865219272.0
4301.971,-228.399,23.0,1437.27,27.83,902.758,1929.122,18.398,6.147,0.119,3.861,8.25,0.021,20.24,6.93,33.68,23.29,233821851.0,6782206660350.0
4335.917,33.946,22.97,1516.845,29.845,857.526,1926.612,18.37,6.426,0.126,3.633,8.163,0.022,20.74,7.26,31.47,23.45,236030236.0,7066236748706.0
4468.262,132.345,23.0,1586.089,32.309,886.237,1957.838,18.754,6.657,0.136,3.72,8.217,0.024,20.8,7.71,30.12,23.72,238256849.0,7581107814192.0
4484.338,16.076,22.29,1626.679,31.105,859.977,1961.477,18.646,6.764,0.129,3.576,8.156,0.021,19.89,7.36,28.06,23.72,240499822.0,7874872063509.0
4487.856,3.518,22.0,1588.46,32.197,816.786,2045.17,18.487,6.543,0.133,3.364,8.424,0.022,19.21,7.32,27.18,24.01,242763137.0,8146028056750.0
4680.834,192.978,22.22,1680.812,32.237,864.986,2096.167,19.101,6.859,0.132,3.53,8.554,0.027,19.62,7.03,26.57,24.32,245052780.0,8432566701090.0
4885.591,204.756,22.34,1758.907,32.443,906.701,2179.897,19.75,7.11,0.131,3.665,8.812,0.031,19.85,6.68,26.55,24.44,247372258.0,8787202970282.0
4948.021,62.431,22.3,1796.756,32.505,938.42,2172.745,19.814,7.195,0.13,3.758,8.7,0.03,20.23,6.54,26.12,23.96,249725809.0,9091291414932.0
5128.301,180.279,22.59,1839.465,33.484,1032.721,2156.622,20.341,7.296,0.133,4.096,8.554,0.166,21.09,6.71,26.75,23.39,252120309.0,9250377703908.0
